Precinct Number,Precinct Name,Total Reg Voters,Democratic Reg Voters,Republican Reg Voters,Nonpartisan Reg Voters,Total Ballots Cast,Democratic Ballots Cast,Republican Ballots Cast,Nonpartisan Ballots Cast,Total Voter Turnout (%),Democratic Voter Turnout (%),Republican Voter Turnout (%),Nonpartisan Voter Turnout (%)
1,ALEPPO,1376,509,704,,366,133,233,,26.60,26.13,33.10,
2,ASPINWALL DIST 1,873,462,278,,267,195,72,,30.58,42.21,25.90,
3,ASPINWALL DIST 2,583,286,202,,177,120,57,,30.36,41.96,28.22,
4,ASPINWALL DIST 3,849,443,273,,276,199,77,,32.51,44.92,28.21,
5,AVALON WARD 1,1094,658,254,,183,135,48,,16.73,20.52,18.90,
6,AVALON WARD 2 DIST 1,707,421,167,,136,98,38,,19.24,23.28,22.75,
7,AVALON WARD 2 DIST 2,465,258,145,,86,58,28,,18.49,22.48,19.31,
8,AVALON WARD 3 DIST 1,318,186,83,,57,49,8,,17.92,26.34,9.64,
9,AVALON WARD 3 DIST 2,497,277,154,,76,56,20,,15.29,20.22,12.99,
10,AVALON WARD 3 DIST 3,497,286,129,,92,62,30,,18.51,21.68,23.26,
11,BALDWIN BR DIST 1,580,369,151,,96,66,30,,16.55,17.89,19.87,
12,BALDWIN BR DIST 2,1005,615,255,,176,133,43,,17.51,21.63,16.86,
13,BALDWIN BR DIST 3,794,503,198,,130,86,44,,16.37,17.10,22.22,
14,BALDWIN BR DIST 4,770,463,217,,127,90,37,,16.49,19.44,17.05,
15,BALDWIN BR DIST 5,785,475,214,,138,96,42,,17.58,20.21,19.63,
16,BALDWIN BR DIST 6,757,423,242,,124,84,40,,16.38,19.86,16.53,
17,BALDWIN BR DIST 7,796,446,250,,114,77,37,,14.32,17.26,14.80,
18,BALDWIN BR DIST 8,697,392,208,,104,78,26,,14.92,19.90,12.50,
19,BALDWIN BR DIST 9,738,436,220,,122,84,38,,16.53,19.27,17.27,
20,BALDWIN BR DIST 10,1029,641,208,,70,51,19,,6.80,7.96,9.13,
21,BALDWIN BR DIST 11,1137,706,240,,101,74,27,,8.88,10.48,11.25,
22,BALDWIN BR DIST 12,611,407,135,,97,82,15,,15.88,20.15,11.11,
23,BALDWIN BR DIST 13,669,418,186,,119,83,36,,17.79,19.86,19.35,
24,BALDWIN BR DIST 14,569,335,169,,107,68,39,,18.80,20.30,23.08,
25,BALDWIN BR DIST 15,790,525,185,,162,126,36,,20.51,24.00,19.46,
26,BALDWIN BR DIST 16,892,564,217,,146,108,38,,16.37,19.15,17.51,
27,BALDWIN BR DIST 17,671,402,195,,134,101,33,,19.97,25.12,16.92,
28,BALDWIN BR DIST 18,910,556,239,,177,122,55,,19.45,21.94,23.01,
29,BALDWIN TP DIST 1,761,401,258,,127,82,45,,16.69,20.45,17.44,
